ACTION,weightedRisk,weightedAvgInteveral,riskString,RACE,infRateRace,mortRateRace,age group (years),mortality rate,sex,mortRateSex,prexistingCond,mortRatePC,FIPS,COUNTY,STATE,COUNTYFP,ALWAYS,alwaysInteveral,alwaysString
Getting resturant takeout,2,0>0.1,low risk,"White, Non-hispanic persons",comparison group,comparison group,0>4,2x higher compared to 5-17 year olds,Female,comparison group,T2 diabetes,1.5x higher compared to those with no prexisting conditions,1001,Autauga,AL,1001,0.444,0.8>1,lower risk of community spread
Walk/run/bike with others outside,3,0.1>0.2,low-moderate risk,"American Indian or Alaska Native, Non-Hispanic persons","1.7x higher compared to White, Non-hispanic persons","2.4x higher compared to White, Non-hispanic persons",4>18,comparison group,Male,2x higher compared to females,cancer,1.5x higher compared to those with no prexisting conditions,1003,Baldwin,AL,1003,0.436,0.5>0.8,higher risk of community spread
Went to a library or museum,4,0.2>0.3,moderate risk,"Asian, Non-Hispanic persons","0.7x higher compared to White, Non-hispanic persons","1.0x higher compared to White, Non-hispanic persons",18>30,15x higher compared to 5-17 year olds,Non-Binary,no data available,cardiovascular disease,2x higher compared to those with no prexisting conditions,1005,Barbour,AL,1005,0.491,0>0.5,most pronounced community spread
Eating outside in a resturant,4,0.3>0.5,moderate-high risk,"Black/African American, Non-Hispanic persons","1.1x higher compared to White, Non-hispanic persons","1.9x higher compared to White, Non-hispanic persons",30>40,45x higher compared to 5-17 year olds,Trans,no data available ,hypertension,2x higher compared to those with no prexisting conditions,1007,Bibb,AL,1007,0.572,,
Walking in a busy town,4,0.5>0.6,high risk,Hispanic or Latino persons,"1.3x higher compared to White, Non-hispanic persons","2.3x higher compared to White, Non-hispanic persons",40>50,130x higher compared to 5-17 year olds,Intersex,no data available ,chronic kidney disease,3x higher compared to those with no prexisting conditions,1009,Blount,AL,1009,0.459,,
Attended a backyard bbq,5,0.6>1,very high risk,,,,50>65,400x higher compared to 5-17 year olds,Other,no data available ,obesity,there is an increased risk associated to severe illness,1011,Bullock,AL,1011,0.5,,
Went to a beach,5,,,,,,65>75,1100x higher compared to 5-17 year olds,,,COPD,there is an increased risk associated to severe illness,1013,Butler,AL,1013,0.451,,
Shopped at a mall,5,,,,,,75>85,2800x higher compared to 5-17 year olds,,,smoking,there is an increased risk associated to severe illness,1015,Calhoun,AL,1015,0.442,,
Visiting an elderly relative/friend at home,6,,,,,,85,7900x higher compared to 5-17 year olds,,,pregnancy,there is an increased risk associated to severe illness,1017,Chambers,AL,1017,0.56,,
Swam in a public pool,6,,,,,,,,,,sickle cell disease,there is an increased risk associated to severe illness,1019,Cherokee,AL,1019,0.52,,
Went to a salon/barber,7,,,,,,,,,,moderate-to-severe asthma,there may be an increased risk associated to severe illness,1021,Chilton,AL,1021,0.618,,
Eating inside a resturant,7,,,,,,,,,,cerebrovascular,there may be an increased risk associated to severe illness,1023,Choctaw,AL,1023,0.568,,
Traveled by plane,7,,,,,,,,,,cystic fribrosis,there may be an increased risk associated to severe illness,1025,Clarke,AL,1025,0.43,,
Ate at a buffet,8,,,,,,,,,,pulmonary fibrosis,there may be an increased risk associated to severe illness,1027,Clay,AL,1027,0.329,,
Worked out at a gym,8,,,,,,,,,,thalassemia,there may be an increased risk associated to severe illness,1029,Cleburne,AL,1029,0.368,,
Went to a bar,9,,,,,,,,,,liver disease,there may be an increased risk associated to severe illness,1031,Coffee,AL,1031,0.466,,
,,,,,,,,,,,T1 diabetes,there may be an increased risk associated to severe illness,1033,Colbert,AL,1033,0.51,,
,,,,,,,,,,,dementia,there may be an increased risk associated to severe illness,1035,Conecuh,AL,1035,0.399,,
,,,,,,,,,,,HIV,there may be an increased risk associated to severe illness,1037,Coosa,AL,1037,0.384,,
